Gender,F_Size,Income,S_Hour,P_Tution,Attendance ,C_Test ,S_Assignment,Bangla,English,ICT,Accounting ,Bus.Org.&Man,P.Mag.&Mar,Fin.Ban.&In.,Final Result
1,6,1,4,0,5,1,0,22,11,14,25,22,26,26,0
1,7,2,4,0,6,1,0,22,14,5,30,25,22,0,0
1,6,2,3,1,3,1,1,20,18,7,35,0,0,0,0
1,7,3,6,1,4,4,1,37,18,17,40,30,43,45,0
1,5,3,6,0,5,4,1,39,16,21,45,28,36,34,1
1,4,2,6,0,6,4,1,0,0,0,0,0,0,0,1
1,5,2,4,0,5,2,0,44,19,19,28,29,34,47,0
1,7,3,5,1,5,4,1,53,18,29,61,34,37,41,0
1,8,1,4,0,5,3,0,32,25,13,22,21,36,28,0
1,4,1,4,0,5,2,0,39,33,20,37,29,33,29,0
1,4,4,6,1,1,4,1,21,11,6,12,0,13,0,1
